createdAt,amount,originRate
2015-03-21T19:55:51.472Z,1.00,1.00
2015-03-21T19:54:30.572Z,1.00,1.00
2015-03-21T19:54:25.238Z,1.00,1.00
2015-03-21T19:54:18.796Z,1.00,1.00
2015-03-21T19:54:05.560Z,1.00,1.00
2015-03-21T19:53:57.611Z,1.00,1.00
2015-03-21T19:53:50.743Z,1.00,1.00
2015-03-21T19:53:27.543Z,1.00,1.00
2015-03-21T19:53:21.097Z,1.00,1.00
2015-03-21T19:53:16.159Z,1.00,1.00
2015-03-21T19:53:09.980Z,1.00,1.00
2015-03-21T19:53:00.928Z,1.00,1.00
2015-03-21T19:52:56.275Z,1.00,1.00
2015-03-21T19:52:50.965Z,1.00,1.00
2015-03-21T19:52:44.727Z,1.00,1.00
2015-03-21T19:52:37.958Z,1.00,1.00
2015-03-21T19:52:27.697Z,1.00,1.00
2015-03-21T19:52:20.591Z,1.00,1.00
2015-03-21T19:52:15.445Z,1.00,1.00
2015-03-21T19:52:05.298Z,1.00,1.00
2015-03-21T19:51:57.156Z,1.00,1.00
2015-03-21T19:51:51.762Z,1.00,1.00
2015-03-21T19:51:45.776Z,1.00,1.00
2015-03-21T19:51:39.092Z,1.00,1.00
2015-03-21T19:51:29.232Z,1.00,1.00
2015-03-21T19:51:16.389Z,1.00,1.00
2015-03-21T19:51:09.531Z,1.00,1.00
2015-03-21T19:51:03.908Z,1.00,1.00
2015-03-21T19:50:57.692Z,1.00,1.00
2015-03-21T19:50:48.208Z,1.00,1.00
2015-03-21T19:50:41.589Z,1.00,1.00
2015-03-21T19:50:36.194Z,1.00,1.00
2015-03-21T19:50:30.733Z,1.00,1.00
2015-03-21T19:50:24.291Z,1.00,1.00
2015-03-21T19:50:17.856Z,1.00,1.00
2015-03-21T19:50:11.913Z,1.00,1.00
2015-03-21T19:50:06.271Z,1.00,1.00
2015-03-21T19:49:55.426Z,1.00,1.00
2015-03-21T19:49:37.968Z,1.00,1.00
2015-03-21T19:49:27.008Z,1.00,1.00
2015-03-21T19:49:06.556Z,1.00,1.00
2015-03-21T19:48:44.023Z,1.00,1.00
2015-03-21T19:48:28.471Z,1.00,1.00
2015-03-21T19:48:18.838Z,1.00,1.00
2015-03-21T19:48:00.154Z,1.00,1.00
2015-03-21T19:47:51.282Z,1.00,1.00
2015-03-21T19:47:41.311Z,1.00,1.00
2015-03-21T19:47:33.205Z,1.00,1.00
2015-03-21T19:47:11.067Z,1.00,1.00
2015-03-21T19:47:00.300Z,1.00,1.00
2015-03-21T19:46:53.591Z,1.00,1.00
2015-03-21T19:46:47.856Z,1.00,1.00
2015-03-21T19:46:38.282Z,1.00,1.00
2015-03-21T19:46:31.380Z,1.00,1.00
2015-03-21T19:46:20.280Z,1.00,1.00
2015-03-21T19:46:13.858Z,1.00,1.00
2015-03-21T19:46:04.670Z,1.00,1.00
